member_id,CKG_NM,CKG_KND_ACTO_NM,Ing_describe
2,시금치미소된장국,국/탕,만들어둔 육수에 우리쌀미소된장을 풀어주세요 말린새송이버섯을 살짝 불려서 잘라주시고 대파를 쫑쫑썰어서 준비해주세요 *버섯은 다른것으로 넣어주셔도 생버섯으로 넣어주셔도 되세요 물2.5L를 냄비에 넣고 다시멸치/건다시마를 넣어서 10분간 펄펄 끓여 육수를 만들어주세요 *안에 빨간것은 홍고추를 쓰고 남은것이 말라있기에 풍덩했네요ㅎㅎ 썰어둔 기타재료들을 다넣어주신후 10분을 휘리릭 끓여주시면서 다진마늘을 넣어주시고 간을 보신후 싱거우시면 소금을 추가해주시고 혹시라도 짜다면 물을 추가해서 끓이시면 되세요 씻어놓은 포항초를 넣어주세요 재래된장과 달리 달큰한맛이 가미가 되어있어 아이들도 좋아하는 미소된장에 제철시금치의 달달함이 추가되어 더욱 맛있네요 포항초(노지시금치)를 무른잎을 제거후에 찢어주신후 찬물에서 2~3번을 흔들어
2,비빔만두,면/만두,"2~3분간 끓인 후 건져서 다시 감자전분가루에 묻힙니다. 끓는 물에 넣고 떠 오르면 2~3분간 더 끓여서 찬물에 넣어 줍니다. 그러면 탱글탱글한 굴림만두가 됩니다. 그릇에 야채랑 굴림만두를 넣고 섞어 드시면 됩니다. 각종 야채는 채썰어 줍니다. 비벼먹을 초고추장을 만들까 합니다. 고추장 3큰술, 간장 1 1/2큰술, 매실청 3 1/2큰술, 참기름 1큰술, 깨소금 2큰술, 다진마늘 1 1/2큰술, 식초 2큰술을 만들어서 잘 섞어 둡니다. 그릇에 재워둔 닭고기, 두부, 다진파, 애호박을 넣고 여기에 집간장 1/2큰술, 깨소금 1큰술, 참기름 1/2, 후추, 소금을 넣고 한쪽 방향으로 치대어 줍니다. 한쪽방향으로 치대어 주면 고기와 야채가 잘 뭉쳐집니다. 냄비에 물을 끓입니다. 그릇에 감자전분가루를 놓고 그 위에 만두소를 500원짜리 동전만하게 동글동글하게 빚습니다. 물이 끓어 오르면 감자전분"
2,소고기동그랑땡,밑반찬,"골고루 잘 비벼~ 비벼~ 다진소고기말고 다진 돼지고기로 만들어도 맛있어요. 기름을 넉넉하게 두르고 숟가락 2개를 이용해서 동글동글 모양 잡아 넣어주면 되요. 중약불에 앞뒤로 노릇노릇 구어주세요. 재료를 잘게 다지고 두부는 물기를 꾹 짜서 큰 볼에 담아두세요. 계란 3~5개를 깨뜨려 넣고 부침가루 반컵, 천일염 반큰술도 넣어주세요."
2,오꼬노미야끼,디저트,만들어놨던 반죽에 버물버물해주세요. 만들어놨던 소스 부어주시고 마요네즈 얇게 뿌려줍니다.가다랑어포를 흩날려주세요. 끝 먹음직스럽게 부쳐줍니다. 소스를 끓여서 준비합니다. 시판 돈가스 소스로 대체하셔도 괜찮아요.혹시!소스만드실분은 위에 올려놨어요~~ 야채와 오징어 새우 베이컨.표고는 말려놨던걸 불려서 넣어줬어요.
2,깻잎지,밑반찬,"1. 깻잎지 깻잎은 식초 물에 담가 두었다 씻어 물기를 빼두고, 양파, 당근은 채썰어 준비한다. 2. 대패삼겹살 숙주볶음 대패삼겹살은 끓는 물에 살짝 데쳐 기름기를 빼둔다. 3. 어묵볶음 어묵, 양파, 꽈리고추는 먹기 좋은 크기로 썬 후 팬에 어묵, 맛간장을 넣고 먼저 볶아준다. 4. 닭살채소볶음 양배추, 감자, 청양초, 닭고기는 한입 크기로 썬다. 5. 돼지고기 메추리알 장조림 돼지고기는 끓는 물에 한 번 데쳐내어 한 입 크기로 썰고 청양초도 한 입 크기로 썬다. 6. 쇠미역채소말이 쇠미역은 염분을 제거한 후 끓는 물에 데쳐낸 후 물기를 제거한 후 먹기 좋은 크기로 잘라둔다. 쇠미역, 크래미, 채 썰어둔 파프리카를 올려 돌돌 말아 완성한다. 7. 계란말이 흰자, 계란은 소금을 넣고 풀어 준비한다. 8. 청국장찌개 멸치와 다시마로 육수를 준비한다 두부와 준비한 채소는 모두 먹"
2,돼지고기 가지볶음,밑반찬,"가지는 깨끗이 씻어서 도톰하게 모양을 살려 썰어 줍니다. 후라이팬에 가지를 가지런히 올리고 앞뒤로 노릇하게 구워줍니다. 갈은 돼지고기를 준비합니다. 볼에 담고 청주를 부어서 잠시 둡니다. 여기에 다져서 준비한 재료들을 모두 넣고 고루 주무르며 섞어 줍니다. 볼에 양념재료를 넣어서 소스를 만들어 줍니다. 여기에 달걀, 밀가루를 넣고 다진 팽이버섯을 넣은후 참기름, 참깨를 넣고 다시 고루 주물러줍니다. 밀폐용기에 담아서 냉장고에 하루정도 숙성하면 더욱 좋아요. 후라이팬에 양념한 돼지고기를 넣고 볶아 줍니다. 거의 다 볶아지면 양념소스를 부어서 같이 끓여 줍니다. 구워둔 가지를 넣고 잘 섞어가며 양념소스가 없어질때까지 볶아 줍니다."
2,깻잎전과 고추전,밑반찬,갈은 소고기랑 우둔살이 있어서 다져서 함께 사용 했지요. 고기와 다진 채소들을 몽땅 넣고 조물 조물~~~ 요기에다 통깨도 넉넉하게 넣어줌 더 고소하겠지요. 고기전이니만큼 약한 불로 놓고 찬찬히 익혀 주세요. 고추는 반으로 가르고 티스픈을 이용해서 씨를 몽땅 빼내 줬지요. 고추에 고기를 채워주고 밀가루에 한번 더 뒹굴~ 달걀옷이 잘 붙게하기 위함이지요 깻잎 반쪽에 고기반죽을 넣고 반으로 탁! 접어서 밀가루에 앞뒤로 한번 더 굴려주세요 달걀에 소금 한꼬집을 넣고 잘 풀어주고 두부는 마구 마구 으깨주시고 고기엔 소금 한꼬집 후추 두꼬집을 넣고 조물 조물~ 당근.대파.양파.부추는 다져주세요 두부는 반모를 사용해주세요 잘 달궈진 팬에 올리브오일을 넉넉하게 두르고 가장 약한불에서 고기가 보이는쪽부터 익혀 주세요. 풀어 놓은 달걀에 퐁당~ 해준다음 바
3,감자 동그랑땡 만드는법 맛있는 제철 감자요리,메인반찬,"그 외 준비한 양파,당근,감자는 모두 잘게잘게 썰어주세요. 특히 감자는 꼼꼼하게잘게 썰어줘야 속이 잘 익어요. 기름은 조금 넉넉히 둘러준 팬에 만들어둔 동그랑땡을 얹어주세요. 중불 동그랑땡은 기름을 넉넉히 부어줘야 윤기도 나고 맛이 좋아요. 냉장고에 있는 어떤 채소들을 사용해도 좋아요. 돼지고기는 꼬옥 들어가야하구요, 저는 여기에 색감을 위한 쪽파를 송송 썰어주었는데 대파나 부추를 이용하면 더 좋아요. 돼지고기 동그랑땡은 재료손질만 끝나면 금방 뚝딱 만들 수 있는데요, 사실 재료 다지는게 보통 일은 아니죠~ 다지기를 이용하면 조금 더 편하지 않을까 싶지만 저는 칼로 열~심히 썰어주었답니다. 아, 물론 돼지고기는 마트의 다짐육을 이용했어요. 돼지고기 다지려면 너무 힘들잖아요. 다짐육은 종이컵 한컵정도를 준비했고 키친타월로 수분기와 핏"
3,명절에 대표 음식 동그랑땡 새우젓이들어가서 맛있어요~~^^,밑반찬,다진마늘 참기름 새우젖 후추로간을 조절하세요 새우젖은 간보며 조절하심되요 2T정도면간이맞을듯한데양에따라다르답니다 돼지고기다짐육을먼저밑간해주세요 생강가루 소주 후추톡톡잠시재워주세요 야채들은모두채썰어주세요 두부반모는 꼭짜서 으깨주세요 재워둔돼지고기와 야채 두부를 같이섞어주세요 반죽을동그랗게 만들어 밀가루무치고 계란에씌워부쳐주심됩니다 동그랑땡반죽은 아주한입에들어갈정도로 작게만들어야맛도좋답니다
3,오늘뭐먹지  성시경의 고추장찌개*,찌개,"감자1개, 양파 1/2개, 애호박 1/2개, 당근 1/3개, 작은표고버섯 여러개, 홍고추 1개를 썰어주세요. (청고추는 잘라놓거 있어서 그거 사용하려구요) 고추장 3T, 간장2T, 물엿 2T, 다진마늘 1T를 넣어 양념장을 만들어요. 그사이 두부는 사각모양으로 자르고 냄비에 기름을 두르고 목살을 볶다가 고기가 익으면 돼지 고기 목살도 먹기 좋은 크기로 자르구요^^ 뚝배기에 옮겨담은뒤 (찌개는 뚝배기에 넣어야 제맛!) 두부와 청고추를 올려 다시 한번 보글보글 멸치와 다시마를 이용하여 육수를 만듭니다. 바글바글 끓기 시작 하면 홍고추와 표고버섯을 넣고 한소끔 끓입니다. 손질한 채소와 양념을 넣고 육수를 넣고 바글바글 끓여주세요."
3,쫄깃한 골뱅이탕수육,메인반찬,"간이 되어 있는 골뱅이라서 밑간 없이 바로 날밀가루를 묻혀주는데( 그래야 튀김옷이 잘 벗겨지지 않아요. ), 비닐 봉지에 밀가루를 넣고 골뱅이를 넣어 공기를 빵빵하게 한 후 흔들어 주면 고루고루 묻습니다. 감자전분 5큰술, 물 2큰술, 달걀 흰자 1개, 식용유 1큰술을 넣어서 고루 저어주면 튀김옷이 됩니다. 연유같은 농도가 되면 잘 된 것입니다. 기름이 적을 땐 팬을 기울여주면 기름이 한쪽으로 몰려 더 잘 튀겨집니다. 두 번 튀겨주세요. 날밀가루를 묻힌 골뱅이를 튀김옷에 고루 입혀주고요. 스푼으로 버무리면 쉽게 버무려집니다. 목이버섯은 찬물에 설탕을 반큰술 정도 넣고 불리면 잘 불어납니다. 목이버섯은 불리면 양이 많아지니까 감안하고 불리세요. 3조각만 불려도 충분합니다. 물녹말을 넣어 소스가 걸쭉해지면 튀긴 골뱅이를 넣어서 버무려줍니다. 요렇게 튀"
3,식어두 맛있는 동그랑땡 양념으로 4가지 모듬전,메인반찬,고주 깻잎 표고버섯을 손질합니다 그릇에 담아냅니다 그사이 양념으로 들어갈 재료를 다집니다 다진소고기 다진돼지고기에 소주 쳥주를 넣고 재웁니다 동그랑땡양념한걸로 고추전 깻잎전 표고버섯전 동그랑땡을 순서에 따라 만듭니다 재워둔 고기에 동그랑땡 양념을 합니다
3,동그랑땡과 호박완자전 만들기,밑반찬,가운데 부분을 뚜껑등을 이용해서 동그랗게 뚫어줍니다. 계란물은 채에 한번 걸러 사용하면 계란옷이 훨씬 매끄럽게 입혀지구요. 계란 물 역시 최대한 다 털어낸 후에 달궈진 팬에 올려줍니다. 다진 쇠고기 900g 다진 돼지고기 300g 다진 양파 (2개) 두부1모 (물기 제거 후 사용) 다진 마늘 3큰술 생강즙 1큰술 다진파 1컵 다진 당근 (1개) 계란 4개 소금 2작은술 후춧가루 1작은술 맛술 2큰술 핸드믹서로 고기를 잘 치대준 후 위의 재료들을 다 함께 섞어줍니다. 두부는 채에 받쳐 물기를 빼면서 으깨서 넣어줍니다. (고기를 잘 치대면 끈기가 생겨 빵가루를 따로 넣을 필요가 없어요) 간은 조금 떼어서 팬에 부쳐서 먹어 본 다음 입맛에 맞게 소금을 첨가해 줍니다. (동그랑땡 100개 정도의 분량입니다) 달궈진 팬에 기름을 두루고 동그랑땡을 올린 후 은근한 불에서 서서히 익혀줍니다
3,현미호두죽,밥/죽/떡,"냄비에 분량의 물과 현미, 찹쌀을 넣고 끓어오르면 불을 중한 불로 줄여 쌀알이 퍼질 때까지 끓인다. 불을 끄고 뚜껑을 덮은 채 약 10분간 뜸을 들인 다음 소금으로 간한다. 어느 정도 익으면 호두 간 것을 넣어 한소끔 더 끓인다. 현미와 찹쌀은 씻어서 불린 후 분말기로 적당히 간다. 호두는 끓는 물에 데친 후 물기를 뺀 다음 분말기에 곱게 간다."
3,양파링튀김,디저트,"그 다음 밀가루1C, 달걀노른자, 찬물을 넣어서 조금 묽게 튀김옷을 만들어 주세요~그 다음 밀가루옷을 입힌 양파를 튀김물을 한번 더 입혀주세요~ 달군 후라이팬에 기름을 넣으시고노릇노릇하게 튀겨주세요~금방익으니깐 불을 너무 세게 하시지는 마세요~ 먼저 양파에 밀가루를 묻혀주세요~ 빵가루에 미리 파슬리 가루를 조금 넣어서 섞어주세요~향도 좋아지고 보기에도 이쁘답니다~ 양파는 좀 두껍게 썰어주세요.1cm정도로 써신 다음에 키친타올을 이용해서 한번씩 꾹꾹 눌러서 물기를 제거헤주세요~ 요렇게 얇게 밀가루옷을 입혀주세요~묻히다 보니 양파는 조금 작은걸 사용하시는게 좋을거 같아요~ 튀김물을 입힌 양파를 이제는 파슬리를 넣은 빵가루를 묻혀주세요~"
3,베이컨김치말이밥,밥/죽/떡,"김치도 양파 볶은 팬에 기름을 두르지 말고 김치 물기만 날려줄 정도로 볶아주세요~김치를 볶기 귀찮은 분들은 그냥 꼭 쫘서 사용하셔도 되요~ 깻잎, 양파, 김치 모두 잘게 다져주세요~특히 김치를 다지실때는 안에 들어있는 김치속을 좀 털어주신 다음에 다져주세요~ 먼저 밥을 동그랗게 만드신 다음에 베이컨을 두르고 양쪽을 톡톡 안으로 넣어주시면 사진처럼 모양이 완성되요~베이컨이 풀리지 않도록 이쑤시개를 꽂아줬는데~실파나 미나리 같은게 있으시면 묶어 주셔도 되요~ 밥 1공기에 참기름1T, 소금으로 간을 해주신 다음에볶은 김치와 양파를 넣고 깻잎 넣어서 조물조물 해주세요~ 팬에 기름을 두르지 말고 돌려가면서 노릇노릇 구워주신 후 키친타올에 올려서 기름을 살짝 제거해주세요~ 팬에 기름을 두르지 말고 아주 살짝만 양파를 볶아주세요~"
3,고구마치즈스틱,디저트,고구마를 깨끗히 씻어서 준비해주세요~ 고구마를 물에 많이 담구지 말고 쪄준 다음뜨거울 때 버터1T를 넣어주세요~ 그 다음 고구마를 만두피처럼 만든 다음에 모짜렐라 치즈를 넣고 동그랗게 감싸주세요~ 그 다음 모짜렐라(피자치즈)를 손가락만하게 잘라주세요~ 그 다음 밀가루->달걀물->빵가루 순으로 입혀주세요~빵가루에 파슬리나 기타 말린허브를 넣으면 모양도 보기 좋고 향도 좋아요~ 그 다음 키친타올에 올려서 기름을 쪼옥- 빼주면 완성~ 그 다음에 골고루 섞으면서 으깨주세요~ 그 다음에 기름에 튀겨주세요~겉이 노릇노릇 해지면 바로 꺼내주셔도 되요~다 익은 거라서 치즈가 살짝 녹을 정도만 튀겨주시면 되요~ 그럼 요렇게 두툼한 고구마치즈스틱이 되요~고구마 두께에 따라서 크기는 달라질수 있겠죠?
3,카레새우삼각김밥,밥/죽/떡,"그 다음에 기름에 노릇노릇 튀겨주세요~그럼 요렇게 맛있는 카레새우속이 완성됩니다~저 상태에서 먹어도 너무 맛있어요~ 그 다음에 삼각김밥틀보다 조금 작게 카레새우속 모양을 만들어주세요~ 그 다음에 삼각김밥틀에 카레밥은 1/3만 담고 그 위에 카레새우속을 올리고 다시 카레밥을 꼼꼼히 채워주세요~ 그럼 요렇게 모양도 이쁜 카레새우삼각밥이 완성! 그럼 이제 카레새우속을 만들어 보아요~새우는 머리,꼬리를 떼어내고 껍질을 벗겨 내장을 제거해서 준비해주세요~ 먼저 밥을 지어보아요~쌀을 깨끗히 씻은 후에 적당량을 물을 붓고 백세카레가루1T를 풀어줍니다~카레의 양은 쌀의 양에 따라 가감해주세요~ 해보니 1~1/2T가 적당한거 같아요~ 빵가루에 미리 백세카레가루를 섞어주신 다음에~ 새우와 양파는 곱게 다져주세요~김치도 송송송 다진 다음에 물기를 쪽- 빼주"
3,미니새우버거,빵,"그 다음 모닝빵을 반으로 가른 뒤에 마요네즈를 얇게 발라주세요~마요네즈 대신 허니머스터드를 발라도 좋구요~마요네즈와 허니머스터드를 섞은 다음 다진 피클을 넣어서 발라줘도 좋아요~ 그 다음 빵크기에 맞게 둥글게 빚어주세요~ 그 위에 노릇노릇 맛있게 구운 새우패티를 올려주세요~ 마요네즈를 바른 빵에 상추 →토마토→피클순으로 올려주세요~ 상추는 깨끗히 씻어서 준비해주시구요. 토마토랑 피클을 슬라이스해서 준비해주세요~상추대신 양상추를 사용하셔도 되고요~ 양배추를 채썰어 사용하셔도 좋아요~ 새우는 깨끗히 손질해서 잘게 다져주세요~통새우가 없으시면 칵테일 새우를 이용하셔도 좋아요~ 새우패티를 노릇노릇 굽는동안 모닝빵을 오븐이나 기름을 두르지 않은 후라이팬에 데워서 따뜻하게 준비해주세요~ 잘게 다진 새우살과 빵가루2T, 밀가루1T, "
4,객지생활하는 아이들을 위한 반찬 7가지,집밥이 그리운 아이들을 위한 밑반찬,집밥이 그리운 아이들을 위한 밑반찬
4,소고기 동그랑땡,객지생활하는 아이들을 위한 반찬 7가지,객지생활하는 아이들을 위한 반찬 7가지
4,바삭촉촉오꼬노미야끼,소고기 동그랑땡,소고기 동그랑땡
4,동그랑땡 양송이전,바삭촉촉오꼬노미야끼,바삭촉촉오꼬노미야끼
4,[동영상] 초보를 위한 바삭하고 속이 알찬 고추튀김 레시피,동그랑땡 양송이전,동그랑땡 양송이전
4,설날요리 6가지전 재료 손질부터 비법양념까지 모듬전,[동영상] 초보를 위한 바삭하고 속이 알찬 고추튀김 레시피,[동영상] 초보를 위한 바삭하고 속이 알찬 고추튀김 레시피
4,모양 예쁜 파프리카전,설날요리 6가지전 재료 손질부터 비법양념까지 모듬전,설날요리 6가지전 재료 손질부터 비법양념까지 모듬전
4,소고기 동그랑땡 만드는법 어렵지 않아요!,모양 예쁜 파프리카전,모양 예쁜 파프리카전
4,겉은 바삭 속은 쫄깃 닭고기 카레빵 만들기,소고기 동그랑땡 만드는법 어렵지 않아요!,소고기 동그랑땡 만드는법 어렵지 않아요!
4,비빔밥과 된장국 비빔 양념장,겉은 바삭 속은 쫄깃 닭고기 카레빵 만들기,겉은 바삭 속은 쫄깃 닭고기 카레빵 만들기
4,동글동글 모양이 예쁜 생표고버섯전,비빔밥과 된장국 비빔 양념장,비빔밥과 된장국 비빔 양념장
4,저칼로리 다이어트 닭요리/닭고기 비빔당면,동글동글 모양이 예쁜 생표고버섯전,동글동글 모양이 예쁜 생표고버섯전
4,감자 동그랑땡 만드는법 맛있는 제철 감자요리,저칼로리 다이어트 닭요리/닭고기 비빔당면,저칼로리 다이어트 닭요리/닭고기 비빔당면
4,오늘은 내가 짜장밥 요리사!!!,감자 동그랑땡 만드는법 맛있는 제철 감자요리,감자 동그랑땡 만드는법 맛있는 제철 감자요리
4,특별한 날 특별 메뉴 양장피,오늘은 내가 짜장밥 요리사!!!,오늘은 내가 짜장밥 요리사!!!
4,백종원 모듬전(깻잎전·고추전·동그랑땡),특별한 날 특별 메뉴 양장피,특별한 날 특별 메뉴 양장피
4,소고기 카레 규카츠 (초당대학교),백종원 모듬전(깻잎전·고추전·동그랑땡),백종원 모듬전(깻잎전·고추전·동그랑땡)
4,돼지고기 동그랑땡 만들기,소고기 카레 규카츠 (초당대학교),소고기 카레 규카츠 (초당대학교)
4,명절의 꽃~! 모듬전 만들기[호박전 동그랑땡 깻잎전 고추전 표고버섯전 새송이전 삼색꼬치전],돼지고기 동그랑땡 만들기,돼지고기 동그랑땡 만들기
4,#모듬전 [추석요리-꼬지전 애호박전 깻잎전 홍어전 동태전 고구마전 감자전 표고전 고추소고기전 두부전 김치전],명절의 꽃~! 모듬전 만들기[호박전 동그랑땡 깻잎전 고추전 표고버섯전 새송이전 삼색꼬치전],명절의 꽃~! 모듬전 만들기[호박전 동그랑땡 깻잎전 고추전 표고버섯전 새송이전 삼색꼬치전]
